iter	Logloss
0	0.6262886329
1	0.5685667929
2	0.5198981141
3	0.4783667021
4	0.44069023
5	0.4122492986
6	0.3849661483
7	0.3588342111
8	0.3362999008
9	0.3184708494
10	0.2952730993
11	0.2801597133
12	0.2638744304
13	0.2517085671
14	0.2391527609
15	0.2305213302
16	0.220125432
17	0.2129184029
18	0.2059514321
19	0.1981029715
20	0.1918813771
21	0.1869630031
22	0.1801062912
23	0.1738816487
24	0.1692387675
25	0.1639879841
26	0.1596536897
27	0.1559987289
28	0.1527295016
29	0.1488850035
30	0.1461535441
31	0.1427892261
32	0.1401677171
33	0.1374544831
34	0.1344164691
35	0.1320785359
36	0.1289803849
37	0.1262551397
38	0.1240402929
39	0.1220833578
40	0.119322152
41	0.1172234697
42	0.1148942637
43	0.1130625921
44	0.1111246442
45	0.1088990201
46	0.1070390808
47	0.1048170038
48	0.1028473499
49	0.1014466439
50	0.1001333629
51	0.09771872757
52	0.09586206316
53	0.09376241931
54	0.09204066182
55	0.09077625978
56	0.08941710265
57	0.08850141201
58	0.08727236282
59	0.08634116845
60	0.08513108842
61	0.0840330362
62	0.08300808465
63	0.08195931052
64	0.08081219794
65	0.0796686143
66	0.07829046986
67	0.07679688661
68	0.07529396393
69	0.07398763196
70	0.07270508175
71	0.07181974994
72	0.07096966212
73	0.0701357947
74	0.06929261959
75	0.06837296004
76	0.06735994246
77	0.06655465578
78	0.0655896916
79	0.06458036625
80	0.06369036245
81	0.06307684482
82	0.06239444492
83	0.0615776688
84	0.06064757212
85	0.05992711597
86	0.05886457083
87	0.05816100185
88	0.0573356075
89	0.05669670241
90	0.05605609182
91	0.05495777198
92	0.05421127519
93	0.05349483331
94	0.0529550287
95	0.05232824355
96	0.05154303733
97	0.05084938839
98	0.05019377301
99	0.04961499136
100	0.04923439253
101	0.04894876197
102	0.04845785443
103	0.0479266635
104	0.04740916194
105	0.04677019788
106	0.04640136066
107	0.04591996945
108	0.0453070052
109	0.04499260792
110	0.04451902301
111	0.04393032133
112	0.04346500537
113	0.04286176611
114	0.04251686033
115	0.04183542658
116	0.04133725705
117	0.04095248972
118	0.04040189872
119	0.03997686162
120	0.0394392796
121	0.03903723047
122	0.03857136113
123	0.03815323221
124	0.03782068223
125	0.03736603926
126	0.03703507685
127	0.03667896284
128	0.03621816011
129	0.0358016233
130	0.03559598118
131	0.0352712443
132	0.03488573081
133	0.03448089436
134	0.03407209126
135	0.03374585527
136	0.03346124982
137	0.03319300993
138	0.0328969241
139	0.03246162451
140	0.03215370224
141	0.03181951933
142	0.03153815933
143	0.03123176112
144	0.03092646741
145	0.03056368108
146	0.03022299822
147	0.02991286696
148	0.02975137736
149	0.02958879006
150	0.02936288605
151	0.02910061994
152	0.02882696871
153	0.02859347159
154	0.02846001388
155	0.02830448672
156	0.02799358436
157	0.02778692166
158	0.02751725522
159	0.02737686212
160	0.0270985888
161	0.02685791587
162	0.0264982888
163	0.02636643
164	0.02616280636
165	0.02602125887
166	0.02572979286
167	0.0255666227
168	0.02538913269
169	0.02514616006
170	0.02503072804
171	0.02480455414
172	0.02454972466
173	0.02436066808
174	0.02420818451
175	0.02401446276
176	0.02382536535
177	0.02365030432
178	0.02344144624
179	0.02324386216
180	0.02305845698
181	0.02286322477
182	0.02273320755
183	0.02252365094
184	0.02234498159
185	0.02214851561
186	0.02197024315
187	0.02181339151
188	0.02164534071
189	0.02159651168
190	0.02143115067
191	0.02125599892
192	0.02111880816
193	0.02094148597
194	0.02079510547
195	0.02064198007
196	0.02050086349
197	0.0203641422
198	0.02027739299
199	0.02015887883
